# Time Magnitude Flag
19500.100968 2.145624 0
19500.760862 2.367677 0
19500.854355 2.935604 0
19501.316927 2.116323 0
19501.434779 3.804782 0
19501.616623 2.177371 0
19501.925238 2.221027 0
19503.250446 2.398107 0
19503.901714 2.139370 0
19504.215356 3.151235 0
19504.569692 2.272618 0
19504.899812 2.700478 0
19505.049605 2.206666 0
19505.176306 2.233717 0
19505.811424 2.150714 0
19505.831269 2.178597 0
19506.135553 2.521402 0
19506.297763 2.221425 0
19507.168275 2.123914 0
19507.186738 2.800264 0
19507.248419 3.134382 0
19507.367550 4.599051 0
19507.396220 2.142782 0
19507.433399 2.556335 0
19507.615376 2.116677 0
19507.778679 2.307927 0
19508.155134 2.403946 0
19508.288478 2.064575 0
19508.597906 2.459111 0
19508.599524 2.292559 0
19508.627626 3.739388 0
19508.629576 2.133451 0
19508.791846 2.203027 0
19509.286799 2.525093 0
19509.739016 2.087549 0
19509.930291 2.427696 0
19511.217402 2.443063 0
19511.644877 2.440521 0
19511.848259 2.137894 0
19511.883603 3.002217 0
19512.152292 2.220967 0
19513.167543 3.439966 0
19514.880738 2.109699 0
19515.705678 2.578975 0
19515.981213 2.812494 0
19516.534471 3.093441 0
19516.840949 2.547037 0
19517.134073 2.114149 0
19517.489949 3.778539 0
19517.575053 3.057187 0
19517.581497 2.181498 0
19517.890057 3.036466 0
19518.552499 2.162022 0
19518.667919 3.140622 0
19518.709810 2.684739 0
19518.749196 2.450365 0
19518.794324 2.186167 0
19519.072175 2.188114 0
19519.265965 2.645138 0
19519.884762 2.053377 0
19520.307203 2.511018 0
19520.827564 2.373367 0
19520.938951 2.962023 0
19521.178758 2.135531 0
19521.371791 2.433121 0
19522.246794 2.083814 0
19522.417694 3.552845 0
19522.784395 2.586682 0
19523.313696 3.595806 0
19523.449360 2.128528 0
19524.036977 2.227561 0
19524.443699 2.175561 0
19524.461024 2.531674 0
19524.660391 3.101380 0
19524.727030 2.207388 0
19525.150919 2.146512 0
19525.171137 2.979284 0
19525.570858 4.380129 0
